refLocal;idVehiculo
1838695;-1421387739
1838697;-1678633475
1838698;-1720715098
1838699;-1253905727
1838701;-1784210876
1838702;-1049045238
1838703;-1029366105
1838704;-1702707048
1838705;-1188832927
1838706;-1822985426
1838707;-1254789348
1838708;-1309280305
1838709;-1176668392
1838711;-1171574234
1838712;-1314344873
1838713;-1183983293
1838714;-1499201239
1838715;-1838520445
1838716;-1189818409
1838717;-1103510012
1838718;-1883630997
1838719;-1460432718
1838720;-1267497035
1838788;-1536381223
1838789;-1322244182
1838790;-1241020369
1838792;-1309232114
1838793;-1900067493
1838801;-1453700637
1838802;-1115550491
1838832;-1172530319
1838833;-1613387825
1838835;-1393823734
1838836;-1378026589
1838722;-1491955355
1838723;-1348401750
1838724;-1775818769
1838726;-1672588847
1838728;-1184148077
1838729;-1930347522
1838730;-1168419065
1838731;-1797334153
1838733;-1989275439
1838734;-1112687016
1838735;-1553413541
1838736;-1113805612
1838737;-1100654104
1838738;-1095280485
1838739;-1472628542
1838741;-1815820918
1838744;-1887424836
1838745;-1229635926
1838746;-1893973847
1838747;-1649795880
1838748;-1533227471
1838750;-1183719154
1838753;-1978085116
1838757;-1086127764
1838758;-1919527970
1838759;-1851252514
1838760;-1947179571
1838761;-1632841234
1838762;-1569170964
1838763;-1094455163
1838765;-1138978065
1838766;-1446135226
1838769;-1232612123
1838770;-1542977962
1838773;-1154128350
1838775;-1910201658
1838776;-1811013040
1838777;-1480589418
1838779;-1495164686
1838780;-1080136643
1838781;-1909480163
1838784;-1639156725
1838785;-1249383707
1838786;-1714312341
1838787;-1711828461
1838808;-1051504877
1838809;-1835546035
1838810;-1498637664
1838811;-1334638819
1838812;-1986888510
1838813;-1571112383
1838814;-1382426442
1838815;-1626682126
1838816;-1860283641
1838819;-1120911313
1838822;-1609679573
1838827;-1406008061
1845285;-1085205172
1845286;-1915091251
1845287;-1872655804
1845288;-1204208329
1845292;-1972858197
1845298;-1680044504
1845299;-1304428901
1845300;-1821619362
1845301;-1733207677
1845302;-1146610613
1845304;-1657265740
1845305;-1578775855
1845307;-1507212859
1845309;-1648313761
1845310;-1086450186
1845312;-1966246571
1845313;-1646283996
1845314;-1522915616
1845315;-1565946616
1845316;-1034932100
1845317;-1038599078
1845318;-1863379824
1845319;-1162654453
1845320;-1322723748
1845321;-1391560198
1845326;-1736073905
1845327;-1910703044
1845328;-1518896862
1845329;-1482060215
1845330;-1761920771
1845331;-1963546297
1845332;-1281893101
1845333;-1454684198
1845335;-1423965551
1845338;-1895357565
1845339;-1374852585
1845340;-1344486192
1845350;-1064237538
1845352;-1863283196
1845354;-1227928173
1845355;-1432098481
1845356;-1303455516
1845357;-1443680853
1845359;-1539821660
1845360;-1034369970
1845362;-1999948460
1845363;-1277520356
1845364;-1486974013
1845471;-1236775519
1845472;-1102195625
1845474;-1436823963
1845476;-1387310294
1845341;-1405418681
1845342;-1546528480
1845345;-1648411031
1845365;-1348681096
1845366;-1045366315
1845367;-1038417142
1845368;-1819505582
1845369;-1995702672
1845370;-1754365120
1845371;-1366104498
1845372;-1490280226
1845374;-1009858880
1845375;-1178082965
1845379;-1409741104
1845380;-1706498863
1845381;-1199933577
1845384;-1928539918
1845387;-1237274281
1845388;-1883249576
1845390;-1238469196
1845391;-1746101621
1845393;-1185226172
1845395;-1971890435
1845396;-1208301734
1845397;-1537536869
1845398;-1350536579
1845399;-1356801983
1845400;-1529032827
1845401;-1940714275
1845402;-1421111024
1845403;-1452142631
1845404;-1343179663
1845405;-1322655958
1845406;-1506449221
1845411;-1883854886
1845412;-1524963793
1845413;-1427998010
1845415;-1958968033
1845416;-1224385361
1845417;-1841232991
1845418;-1016623254
1845419;-1428070940
1845421;-1783466936
1845423;-1035630422
1845427;-1247794194
1845429;-1310923875
1845435;-1830622795
1845439;-1824607078
1845440;-1535668643
1845441;-1625188959
1845442;-1910681117
1845443;-1466165917
1845444;-1223333513
1845445;-1497506259
1845446;-1713812862
1845451;-1913723765
1845452;-1311873581
1845453;-1858543751
1845454;-1430940523
1845455;-1913294294
1845457;-1884230597
